alpha,projector_width,seed,final_erank,early_erank_5ep,linear_probe_test_acc,finetune_test_acc
0.0,64,0,39.908727694780396,23.073124934465458,0.876,0.948
0.0,64,1,39.68961314665965,22.548931586436737,0.912,0.946
0.25,64,0,26.002986394442043,15.19592693524483,0.917,0.951
0.25,64,1,26.011709897946087,15.673430002652681,0.908,0.948
0.5,64,0,16.922223262297802,10.816878783397186,0.911,0.949
0.5,64,1,17.758656428410458,10.899904642349634,0.899,0.947
0.75,64,0,11.502302340972118,8.573926289876303,0.92,0.952
0.75,64,1,11.58472368044731,8.496958469733213,0.902,0.949
1.0,64,0,9.155776207263653,7.667348843354445,0.919,0.948
1.0,64,1,9.018457314906977,7.4647704148903875,0.896,0.939
0.0,512,0,48.23995223412147,32.47653217804738,0.865,0.949
0.0,512,1,48.18571878090883,32.80245331006172,0.906,0.948
0.25,512,0,32.95381078964625,19.89274983528333,0.918,0.954
0.25,512,1,32.944353103637695,20.26480117210975,0.908,0.947
0.5,512,0,20.58568274669158,13.181852548550337,0.923,0.951
0.5,512,1,20.44053158393273,12.98152575126061,0.909,0.948
0.75,512,0,13.58546424523378,9.645076629443047,0.922,0.947
0.75,512,1,13.719605641487318,9.578313582982773,0.905,0.947
1.0,512,0,10.019900126334948,7.880181129162128,0.922,0.943
1.0,512,1,10.001313380706005,7.8758422166873245,0.903,0.945
