dataset,x,y,n,pooled_r,pooled_p,pooled_sig,partial_r_controlling_alpha_width,partial_p,partial_sig,sign_flipped
ECG5000,final_erank,linear_probe_acc,20,-0.474,0.035,True,-0.231,0.327,False,False
ECG5000,final_erank,finetune_acc,20,0.291,0.213,False,0.202,0.394,False,False
ECG5000,early_erank_5ep,linear_probe_acc,20,-0.5,0.025,True,-0.231,0.326,False,False
ECG5000,early_erank_5ep,finetune_acc,20,0.258,0.273,False,0.193,0.415,False,False
FordA,final_erank,linear_probe_acc,30,-0.357,0.053,False,-0.536,0.002,True,False
FordA,final_erank,finetune_acc,30,-0.025,0.894,False,0.052,0.785,False,True
FordA,early_erank_5ep,linear_probe_acc,30,-0.411,0.024,True,-0.553,0.002,True,False
FordA,early_erank_5ep,finetune_acc,30,0.012,0.951,False,0.15,0.429,False,False
SPOKEN_arabic_digits,final_erank,linear_probe_acc,30,-0.521,0.003,True,0.581,0.001,True,True
SPOKEN_arabic_digits,final_erank,finetune_acc,30,-0.225,0.232,False,-0.125,0.51,False,False
SPOKEN_arabic_digits,early_erank_5ep,linear_probe_acc,30,-0.667,0.0,True,-0.359,0.051,False,False
SPOKEN_arabic_digits,early_erank_5ep,finetune_acc,30,-0.167,0.377,False,0.206,0.274,False,True
UCI HAR,final_erank,linear_probe_acc,30,-0.439,0.015,True,0.422,0.02,True,True
UCI HAR,final_erank,finetune_acc,30,-0.23,0.221,False,-0.171,0.367,False,False
UCI HAR,early_erank_5ep,linear_probe_acc,30,-0.49,0.006,True,-0.165,0.383,False,False
UCI HAR,early_erank_5ep,finetune_acc,30,-0.181,0.338,False,0.216,0.251,False,True
EigenWorms,final_erank,linear_probe_acc,30,-0.03,0.875,False,-0.268,0.153,False,False
EigenWorms,final_erank,finetune_acc,30,-0.196,0.3,False,-0.128,0.5,False,False
EigenWorms,early_erank_5ep,linear_probe_acc,30,-0.065,0.732,False,-0.338,0.068,False,False
EigenWorms,early_erank_5ep,finetune_acc,30,-0.25,0.184,False,-0.268,0.153,False,False
